id,text_id,textsize,treesize,constr_time,peak_mem,access_avg,constr_time_rs,treesize_rs,rank_avg,select_avg,s,t,l,result
4,/workspace/dmeyer/data/dblp.xml,33554432,14548140,5266,805306368,102.005,35894,209753612,126.457,1171.12,1,4,4,16808480894261
5,/workspace/dmeyer/data/dblp.xml,33554432,14548140,5092,805306368,102.465,35705,209753612,123.965,1169.98,1,4,4,16808480894261
7,/workspace/dmeyer/data/dblp.xml,33554432,24753067,4444,805306368,99.7193,30646,221356939,106.074,1040.1,1,4,4,16808480894261
6,/workspace/dmeyer/data/dblp.xml,33554432,24753067,4459,805306368,100.938,30674,221356939,104.942,1043.63,1,4,4,16808480894261
0,/workspace/dmeyer/data/dblp.xml,33554432,13289645,51405,60986916,131.571,369885,157963645,188.47,1078.55,1,4,4,16808474592024
9,/workspace/dmeyer/data/dblp.xml,33554432,14564550,46684,805306368,128.135,77747,159238550,149.713,940.665,1,4,4,16808480894261
10,/workspace/dmeyer/data/dblp.xml,33554432,14548140,21122,805306368,109.906,51756,209753612,124.801,1191.89,1342312,4,4,16808480894261
12,/workspace/dmeyer/data/dblp.xml,33554432,24753067,27849,805306368,96.3058,54119,221356939,106.797,1050.4,1,4,4,16808480894261
11,/workspace/dmeyer/data/dblp.xml,33554432,24753067,16283,805306368,96.8597,42487,221356939,105.758,1054.59,1342312,4,4,16808480894261
8,/workspace/dmeyer/data/dblp.xml,33554432,13932414,4529,805306368,118.136,38420,281771486,118.533,1467.18,1,2,8,16808480894261
1,/workspace/dmeyer/data/dblp.xml,33554432,13647251,8681,805306368,206.609,45090,166067147,231.947,1117.09,1,2,8,16808480894261
2,/workspace/dmeyer/data/dblp.xml,33554432,13647251,5410,805306368,201.663,41845,166067147,231.603,1133.82,1,2,8,16808480894261
4,/workspace/dmeyer/data/dblp.xml,33554432,13908293,5251,805306368,114.952,39476,282997829,122.415,1468.21,1,2,8,16808480894261
5,/workspace/dmeyer/data/dblp.xml,33554432,13908293,4963,805306368,113.881,39191,282997829,119.664,1466.97,1,2,8,16808480894261
7,/workspace/dmeyer/data/dblp.xml,33554432,24499080,4636,805306368,148.712,35653,215813288,156.874,1054.17,1,2,8,16808480894261
6,/workspace/dmeyer/data/dblp.xml,33554432,24402139,4462,805306368,102.307,32163,301955467,105.573,1322.6,1,2,8,16808480894261
0,/workspace/dmeyer/data/dblp.xml,33554432,12426848,92333,52723116,205.675,391346,164846744,311.393,1210.59,1,2,8,16808474592024
9,/workspace/dmeyer/data/dblp.xml,33554432,13647251,87897,805306368,203.298,124233,166067147,229.808,1139.8,1,2,8,16808480894261
10,/workspace/dmeyer/data/dblp.xml,33554432,13908293,21670,805306368,109.479,55886,282997829,119.065,1451.09,1342312,2,8,16808480894261
12,/workspace/dmeyer/data/dblp.xml,33554432,24499080,51194,805306368,160.377,82183,215813288,157.535,1082.23,1,2,8,16808480894261
11,/workspace/dmeyer/data/dblp.xml,33554432,24402139,16644,805306368,103.597,44323,301955467,106.864,1320.46,1342312,2,8,16808480894261
8,/workspace/dmeyer/data/dblp.xml,33554432,10357399,5067,805306368,168.738,66760,335650759,164.591,1652.2,1,2,4,16808480894261
1,/workspace/dmeyer/data/dblp.xml,33554432,10112507,9745,805306368,279.692,74318,222304707,279.818,1320.75,1,2,4,16808480894261
2,/workspace/dmeyer/data/dblp.xml,33554432,10112507,7150,805306368,310.913,71772,222304707,278.893,1334.63,1,2,4,16808480894261
4,/workspace/dmeyer/data/dblp.xml,33554432,10366555,6296,805306368,157.196,69532,339098891,168.73,1650.91,1,2,4,16808480894261
5,/workspace/dmeyer/data/dblp.xml,33554432,10366555,6561,805306368,163.754,69469,339098891,165.212,1656.83,1,2,4,16808480894261
7,/workspace/dmeyer/data/dblp.xml,33554432,18850714,4954,805306368,262.549,69940,322625442,204.414,1283,1,2,4,16808480894261
6,/workspace/dmeyer/data/dblp.xml,33554432,18753773,5028,805306368,178.127,66905,408767621,153.308,1524.38,1,2,4,16808480894261
0,/workspace/dmeyer/data/dblp.xml,33554432,9691337,101668,66725316,242.579,592017,221883537,359.809,1373.1,1,2,4,16808474592024
9,/workspace/dmeyer/data/dblp.xml,33554432,10112507,94954,805306368,286.355,159463,222304707,277.559,1343.28,1,2,4,16808480894261
10,/workspace/dmeyer/data/dblp.xml,33554432,10366555,28714,805306368,179.341,91906,339098891,166.311,1663.62,1342312,2,4,16808480894261
12,/workspace/dmeyer/data/dblp.xml,33554432,18850722,57291,805306368,252.105,122379,322625450,205.243,1281.76,1,2,4,16808480894261
11,/workspace/dmeyer/data/dblp.xml,33554432,18753781,22686,805306368,190.549,84525,408767629,151.786,1546.81,1342312,2,4,16808480894261
8,/workspace/dmeyer/data/dna,33554432,33199862,5695,805306368,62.1066,6969,43126326,83.5292,532.303,1,8,8,17890034483892
1,/workspace/dmeyer/data/dna,33554432,33199187,9740,805306368,108.774,10933,38008643,130.252,484.726,1,8,8,17890034483892
2,/workspace/dmeyer/data/dna,33554432,33199187,5221,805306368,107.588,6410,38008643,130.302,486.198,1,8,8,17890034483892
4,/workspace/dmeyer/data/dna,33554432,33199854,6129,805306368,59.4557,7389,43126318,85.4193,532.429,1,8,8,17890034483892
5,/workspace/dmeyer/data/dna,33554432,33199854,5176,805306368,59.4793,6435,43126318,84.4385,529.507,1,8,8,17890034483892
7,/workspace/dmeyer/data/dna,33554432,33376357,5630,805306368,92.7786,6868,38671477,105.896,496.822,1,8,8,17890034483892
6,/workspace/dmeyer/data/dna,33554432,33373766,5662,805306368,61.7569,6913,43287286,83.5421,541.501,1,8,8,17890034483892
0,/workspace/dmeyer/data/dna,33554432,16662413,32977,56817732,104.199,45879,21471869,157.682,518.677,1,8,8,17890003036967
9,/workspace/dmeyer/data/dna,33554432,33199187,28156,805306368,110.156,29343,38008643,128.45,492.08,1,8,8,17890034483892
10,/workspace/dmeyer/data/dna,33554432,33199854,13254,805306368,62.0513,14517,43126318,82.5447,543.468,2543115,8,8,17890034483892
12,/workspace/dmeyer/data/dna,33554432,33376357,16687,805306368,93.6689,17923,38671477,105.309,508.591,1,8,8,17890034483892
11,/workspace/dmeyer/data/dna,33554432,33373766,9970,805306368,62.1413,11225,43287286,83.9463,544.335,2543115,8,8,17890034483892
8,/workspace/dmeyer/data/dna,33554432,13721059,7065,805306368,116.017,19143,60788867,205.384,689.553,1,8,4,17890034483892
1,/workspace/dmeyer/data/dna,33554432,13720945,10257,805306368,171.053,22380,55670593,258.702,634.265,1,8,4,17890034483892
2,/workspace/dmeyer/data/dna,33554432,13720945,7930,805306368,157.699,20056,55670593,260.298,645.847,1,8,4,17890034483892
4,/workspace/dmeyer/data/dna,33554432,13721043,6683,805306368,115.87,18888,60788851,204.9,693.764,1,8,4,17890034483892
5,/workspace/dmeyer/data/dna,33554432,13721043,7794,805306368,117.581,19902,60788851,197.947,693.723,1,8,4,17890034483892
7,/workspace/dmeyer/data/dna,33554432,32023567,5315,805306368,151.229,11926,63415583,175.027,596.562,1,8,4,17890034483892
6,/workspace/dmeyer/data/dna,33554432,32020976,5295,805306368,119.547,11976,68031392,151.401,615.467,1,8,4,17890034483892
0,/workspace/dmeyer/data/dna,33554432,16379277,37921,110748828,105.858,64604,58328925,156.981,582.584,1,8,4,17890003036967
9,/workspace/dmeyer/data/dna,33554432,13720945,39602,805306368,147.833,51707,55670593,262.17,628.527,1,8,4,17890034483892
10,/workspace/dmeyer/data/dna,33554432,13721043,24850,805306368,127.675,36930,60788851,202.624,688.718,2543115,8,4,17890034483892
12,/workspace/dmeyer/data/dna,33554432,32023567,26798,805306368,151.065,33385,63415583,175.802,583.058,1,8,4,17890034483892
11,/workspace/dmeyer/data/dna,33554432,32020976,20089,805306368,119.5,26752,68031392,149.949,608.879,2543115,8,4,17890034483892
8,/workspace/dmeyer/data/dna,33554432,30384014,5119,805306368,71.487,9133,70901582,103.133,913.51,1,4,8,17890034483892
1,/workspace/dmeyer/data/dna,33554432,30381024,10757,805306368,146.752,14880,48978928,211.735,542.296,1,4,8,17890034483892
2,/workspace/dmeyer/data/dna,33554432,30381024,4957,805306368,151.265,9065,48978928,197.048,569.019,1,4,8,17890034483892
4,/workspace/dmeyer/data/dna,33554432,30384006,5437,805306368,65.0981,9457,70901574,104.464,904.515,1,4,8,17890034483892
5,/workspace/dmeyer/data/dna,33554432,30384006,4778,805306368,65.0284,8799,70901574,103.795,904.431,1,4,8,17890034483892
7,/workspace/dmeyer/data/dna,33554432,33090500,5052,805306368,131.468,8512,51231204,184.363,533.054,1,4,8,17890034483892
6,/workspace/dmeyer/data/dna,33554432,33051350,5055,805306368,67.0786,8482,72843830,100.626,876.517,1,4,8,17890034483892
0,/workspace/dmeyer/data/dna,33554432,16405575,48751,64875756,148.2,60891,35003479,229.654,589.782,1,4,8,17890003036967
9,/workspace/dmeyer/data/dna,33554432,30381024,52602,805306368,157.295,56707,48978928,203.492,575.07,1,4,8,17890034483892
10,/workspace/dmeyer/data/dna,33554432,30384006,18755,805306368,73.42,22784,70901574,103.957,930.427,2543115,4,8,17890034483892
12,/workspace/dmeyer/data/dna,33554432,33090500,30626,805306368,142.197,34091,51231204,172.567,548.807,1,4,8,17890034483892
11,/workspace/dmeyer/data/dna,33554432,33051350,12871,805306368,69.0975,16297,72843830,102.958,894.862,2543115,4,8,17890034483892
8,/workspace/dmeyer/data/dna,33554432,30384014,5119,805306368,73.2063,9134,70901582,103.574,915.539,1,4,4,17890034483892
1,/workspace/dmeyer/data/dna,33554432,30381024,10784,805306368,157.521,14895,48978928,206.921,565.478,1,4,4,17890034483892
2,/workspace/dmeyer/data/dna,33554432,30381024,4964,805306368,163.993,9061,48978928,198.939,574.937,1,4,4,17890034483892
4,/workspace/dmeyer/data/dna,33554432,30384006,5446,805306368,67.8786,9446,70901574,105.594,919.212,1,4,4,17890034483892
5,/workspace/dmeyer/data/dna,33554432,30384006,4788,805306368,67.8995,8788,70901574,105.161,924.315,1,4,4,17890034483892
7,/workspace/dmeyer/data/dna,33554432,33090500,5049,805306368,140.361,8507,51231204,175.264,568.651,1,4,4,17890034483892
6,/workspace/dmeyer/data/dna,33554432,33051350,5055,805306368,68.9445,8482,72843830,101.63,887.707,1,4,4,17890034483892
0,/workspace/dmeyer/data/dna,33554432,15830647,59522,120987444,154.195,94131,34428551,233.933,675.529,1,4,4,17890003036967
9,/workspace/dmeyer/data/dna,33554432,30381024,52665,805306368,166.759,56762,48978928,201.895,571.853,1,4,4,17890034483892
10,/workspace/dmeyer/data/dna,33554432,30384006,18882,805306368,78.5679,22890,70901574,103.7,932.312,2543115,4,4,17890034483892
12,/workspace/dmeyer/data/dna,33554432,33090500,30632,805306368,148.181,34096,51231204,176.567,556.647,1,4,4,17890034483892
