id,text_id,textsize,treesize,constr_time,peak_mem,access_avg,constr_time_rs,treesize_rs,rank_avg,select_avg,s,t,l,result
4,/workspace/dmeyer/data/world_leaders,46968181,4777497,5282,1127236344,89.5556,12159,43426525,150.435,591.131,1,8,8,25036252518864
5,/workspace/dmeyer/data/world_leaders,46968181,4777497,5169,1127236344,89.551,12035,43426525,149.781,590.698,1,8,8,25036252518864
7,/workspace/dmeyer/data/world_leaders,46968181,7610733,5141,1127236344,116.841,13283,46751125,191.546,538.889,1,8,8,25036252518864
6,/workspace/dmeyer/data/world_leaders,46968181,7633029,5131,1127236344,84.9642,13450,55431017,139.77,611.554,1,8,8,25036252518864
0,/workspace/dmeyer/data/world_leaders,46968181,4203551,28099,9906528,173.05,123025,57542536,267.201,614.565,1,8,8,25036204561170
9,/workspace/dmeyer/data/world_leaders,46968181,4685140,28191,1127236344,130.621,34549,32818742,218.871,523.386,1,8,8,25036252518864
12,/workspace/dmeyer/data/world_leaders,46968181,7610733,20339,1127236344,114.176,28520,46751125,192.273,541.206,1,8,8,25036252518864
8,/workspace/dmeyer/data/world_leaders,46968181,2746814,5184,1127236344,134.442,21103,67088380,224.899,721.13,1,8,4,25036252518864
1,/workspace/dmeyer/data/world_leaders,46968181,2671719,6010,1127236344,181.727,21684,56583939,300.879,640.016,1,8,4,25036252518864
4,/workspace/dmeyer/data/world_leaders,46968181,2752227,5502,1127236344,133.481,21493,67304977,224.156,722.294,1,8,4,25036252518864
5,/workspace/dmeyer/data/world_leaders,46968181,2752227,5790,1127236344,133.86,21773,67304977,224.611,719.171,1,8,4,25036252518864
7,/workspace/dmeyer/data/world_leaders,46968181,4366880,5294,1127236344,163.87,27608,86135594,273.725,656.525,1,8,4,25036252518864
6,/workspace/dmeyer/data/world_leaders,46968181,4389176,5276,1127236344,133.069,27193,94815486,219.89,738.788,1,8,4,25036252518864
0,/workspace/dmeyer/data/world_leaders,46968181,3224623,28583,12953232,181.68,158780,67475984,273.718,654.904,1,8,4,25036204561170
9,/workspace/dmeyer/data/world_leaders,46968181,2671719,30656,1127236344,172.601,46371,56583939,301.731,647.034,1,8,4,25036252518864
12,/workspace/dmeyer/data/world_leaders,46968181,4366880,22859,1127236344,163.89,45192,86135594,268.484,672.573,1,8,4,25036252518864
8,/workspace/dmeyer/data/world_leaders,46968181,4319601,5082,1127236344,116.367,9894,31766431,178.653,594.333,1,4,16,25036252518864
